"","x"
"1","Pocillopora_acuta_HIv2___RNAseq.10010_t"
"2","Pocillopora_acuta_HIv2___RNAseq.g10676.t1"
"3","Pocillopora_acuta_HIv2___RNAseq.g11852.t1"
"4","Pocillopora_acuta_HIv2___RNAseq.g11857.t1"
"5","Pocillopora_acuta_HIv2___RNAseq.g15121.t1"
"6","Pocillopora_acuta_HIv2___RNAseq.g28464.t1"
"7","Pocillopora_acuta_HIv2___RNAseq.g5711.t2"
"8","Pocillopora_acuta_HIv2___RNAseq.g7752.t1b"
"9","Pocillopora_acuta_HIv2___RNAseq.g9466.t1"
"10","Pocillopora_acuta_HIv2___TS.g14960.t2"
"11","Pocillopora_acuta_HIv2___RNAseq.12574_t"
"12","Pocillopora_acuta_HIv2___RNAseq.29542_t"
"13","Pocillopora_acuta_HIv2___RNAseq.g12898.t1"
"14","Pocillopora_acuta_HIv2___RNAseq.g14180.t1"
"15","Pocillopora_acuta_HIv2___RNAseq.g14912.t2"
"16","Pocillopora_acuta_HIv2___RNAseq.g15835.t1"
"17","Pocillopora_acuta_HIv2___RNAseq.g21501.t1"
"18","Pocillopora_acuta_HIv2___RNAseq.g24327.t1"
"19","Pocillopora_acuta_HIv2___RNAseq.g26270.t1a"
"20","Pocillopora_acuta_HIv2___RNAseq.g28066.t1"
"21","Pocillopora_acuta_HIv2___RNAseq.g30557.t1"
"22","Pocillopora_acuta_HIv2___RNAseq.g30559.t1"
"23","Pocillopora_acuta_HIv2___RNAseq.g3546.t1"
"24","Pocillopora_acuta_HIv2___RNAseq.g3937.t1"
"25","Pocillopora_acuta_HIv2___RNAseq.g7022.t1"
"26","Pocillopora_acuta_HIv2___TS.g10620.t1"
"27","Pocillopora_acuta_HIv2___TS.g15134.t1"
"28","Pocillopora_acuta_HIv2___TS.g15135.t1"
"29","Pocillopora_acuta_HIv2___TS.g15872.t3"
"30","Pocillopora_acuta_HIv2___TS.g16421.t1"
"31","Pocillopora_acuta_HIv2___TS.g19498.t1"
"32","Pocillopora_acuta_HIv2___TS.g21127.t1c"
"33","Pocillopora_acuta_HIv2___TS.g21857.t1"
"34","Pocillopora_acuta_HIv2___TS.g22292.t1"
"35","Pocillopora_acuta_HIv2___TS.g23295.t1"
"36","Pocillopora_acuta_HIv2___TS.g4109.t3"
"37","Pocillopora_acuta_HIv2___TS.g4646.t1"
"38","Pocillopora_acuta_HIv2___TS.g602.t1"
"39","Pocillopora_acuta_HIv2___TS.g6722.t1"
"40","Pocillopora_acuta_HIv2___TS.g9513.t1"
"41","Pocillopora_acuta_HIv2___RNAseq.11901_t"
"42","Pocillopora_acuta_HIv2___RNAseq.12949_t"
"43","Pocillopora_acuta_HIv2___RNAseq.18788_t"
"44","Pocillopora_acuta_HIv2___RNAseq.25025_t"
"45","Pocillopora_acuta_HIv2___RNAseq.2533_t"
"46","Pocillopora_acuta_HIv2___RNAseq.26564_t"
"47","Pocillopora_acuta_HIv2___RNAseq.26630_tb"
"48","Pocillopora_acuta_HIv2___RNAseq.30415_t"
"49","Pocillopora_acuta_HIv2___RNAseq.4396_t"
"50","Pocillopora_acuta_HIv2___RNAseq.665_t"
"51","Pocillopora_acuta_HIv2___RNAseq.673_t"
"52","Pocillopora_acuta_HIv2___RNAseq.g1017.t1"
"53","Pocillopora_acuta_HIv2___RNAseq.g1028.t1"
"54","Pocillopora_acuta_HIv2___RNAseq.g10386.t1"
"55","Pocillopora_acuta_HIv2___RNAseq.g10749.t1"
"56","Pocillopora_acuta_HIv2___RNAseq.g10758.t1"
"57","Pocillopora_acuta_HIv2___RNAseq.g10780.t1"
"58","Pocillopora_acuta_HIv2___RNAseq.g10835.t1"
"59","Pocillopora_acuta_HIv2___RNAseq.g11580.t1"
"60","Pocillopora_acuta_HIv2___RNAseq.g11648.t1"
"61","Pocillopora_acuta_HIv2___RNAseq.g11746.t1"
"62","Pocillopora_acuta_HIv2___RNAseq.g11894.t1"
"63","Pocillopora_acuta_HIv2___RNAseq.g12099.t1"
"64","Pocillopora_acuta_HIv2___RNAseq.g1217.t1"
"65","Pocillopora_acuta_HIv2___RNAseq.g12590.t1"
"66","Pocillopora_acuta_HIv2___RNAseq.g12805.t1"
"67","Pocillopora_acuta_HIv2___RNAseq.g12936.t1"
"68","Pocillopora_acuta_HIv2___RNAseq.g13146.t1a"
"69","Pocillopora_acuta_HIv2___RNAseq.g13970.t2"
"70","Pocillopora_acuta_HIv2___RNAseq.g14046.t1"
"71","Pocillopora_acuta_HIv2___RNAseq.g14253.t1"
"72","Pocillopora_acuta_HIv2___RNAseq.g14411.t1"
"73","Pocillopora_acuta_HIv2___RNAseq.g14652.t1"
"74","Pocillopora_acuta_HIv2___RNAseq.g14895.t1"
"75","Pocillopora_acuta_HIv2___RNAseq.g15356.t1"
"76","Pocillopora_acuta_HIv2___RNAseq.g15532.t1"
"77","Pocillopora_acuta_HIv2___RNAseq.g16431.t1"
"78","Pocillopora_acuta_HIv2___RNAseq.g16713.t1"
"79","Pocillopora_acuta_HIv2___RNAseq.g16871.t1"
"80","Pocillopora_acuta_HIv2___RNAseq.g17016.t1"
"81","Pocillopora_acuta_HIv2___RNAseq.g17052.t1"
"82","Pocillopora_acuta_HIv2___RNAseq.g17157.t1"
"83","Pocillopora_acuta_HIv2___RNAseq.g17158.t1"
"84","Pocillopora_acuta_HIv2___RNAseq.g17180.t1"
"85","Pocillopora_acuta_HIv2___RNAseq.g17224.t2"
"86","Pocillopora_acuta_HIv2___RNAseq.g17449.t2b"
"87","Pocillopora_acuta_HIv2___RNAseq.g1775.t1"
"88","Pocillopora_acuta_HIv2___RNAseq.g1780.t1"
"89","Pocillopora_acuta_HIv2___RNAseq.g17849.t1"
"90","Pocillopora_acuta_HIv2___RNAseq.g17850.t3"
"91","Pocillopora_acuta_HIv2___RNAseq.g18066.t1"
"92","Pocillopora_acuta_HIv2___RNAseq.g18559.t1"
"93","Pocillopora_acuta_HIv2___RNAseq.g18648.t1"
"94","Pocillopora_acuta_HIv2___RNAseq.g18875.t3"
"95","Pocillopora_acuta_HIv2___RNAseq.g18876.t1"
"96","Pocillopora_acuta_HIv2___RNAseq.g18966.t1"
"97","Pocillopora_acuta_HIv2___RNAseq.g19568.t1"
"98","Pocillopora_acuta_HIv2___RNAseq.g19603.t1"
"99","Pocillopora_acuta_HIv2___RNAseq.g1968.t1"
"100","Pocillopora_acuta_HIv2___RNAseq.g19859.t1"
"101","Pocillopora_acuta_HIv2___RNAseq.g2020.t1"
"102","Pocillopora_acuta_HIv2___RNAseq.g20379.t1"
"103","Pocillopora_acuta_HIv2___RNAseq.g20688.t1"
"104","Pocillopora_acuta_HIv2___RNAseq.g20703.t1"
"105","Pocillopora_acuta_HIv2___RNAseq.g20726.t1"
"106","Pocillopora_acuta_HIv2___RNAseq.g20804.t2"
"107","Pocillopora_acuta_HIv2___RNAseq.g20828.t1"
"108","Pocillopora_acuta_HIv2___RNAseq.g20846.t1"
"109","Pocillopora_acuta_HIv2___RNAseq.g21247.t1"
"110","Pocillopora_acuta_HIv2___RNAseq.g21248.t1"
"111","Pocillopora_acuta_HIv2___RNAseq.g21264.t1"
"112","Pocillopora_acuta_HIv2___RNAseq.g21265.t1"
"113","Pocillopora_acuta_HIv2___RNAseq.g2133.t1"
"114","Pocillopora_acuta_HIv2___RNAseq.g21534.t1"
"115","Pocillopora_acuta_HIv2___RNAseq.g21962.t1"
"116","Pocillopora_acuta_HIv2___RNAseq.g22285.t1"
"117","Pocillopora_acuta_HIv2___RNAseq.g22293.t1"
"118","Pocillopora_acuta_HIv2___RNAseq.g22294.t1"
"119","Pocillopora_acuta_HIv2___RNAseq.g22773.t1"
"120","Pocillopora_acuta_HIv2___RNAseq.g23170.t1"
"121","Pocillopora_acuta_HIv2___RNAseq.g23179.t1"
"122","Pocillopora_acuta_HIv2___RNAseq.g23180.t2"
"123","Pocillopora_acuta_HIv2___RNAseq.g23181.t1"
"124","Pocillopora_acuta_HIv2___RNAseq.g23385.t1"
"125","Pocillopora_acuta_HIv2___RNAseq.g23701.t1"
"126","Pocillopora_acuta_HIv2___RNAseq.g24169.t1"
"127","Pocillopora_acuta_HIv2___RNAseq.g243.t1"
"128","Pocillopora_acuta_HIv2___RNAseq.g24700.t1"
"129","Pocillopora_acuta_HIv2___RNAseq.g24727.t1"
"130","Pocillopora_acuta_HIv2___RNAseq.g24729.t1"
"131","Pocillopora_acuta_HIv2___RNAseq.g25272.t1"
"132","Pocillopora_acuta_HIv2___RNAseq.g25451.t1"
"133","Pocillopora_acuta_HIv2___RNAseq.g25708.t1"
"134","Pocillopora_acuta_HIv2___RNAseq.g25795.t1"
"135","Pocillopora_acuta_HIv2___RNAseq.g25875.t1"
"136","Pocillopora_acuta_HIv2___RNAseq.g26058.t1"
"137","Pocillopora_acuta_HIv2___RNAseq.g26375.t1"
"138","Pocillopora_acuta_HIv2___RNAseq.g26742.t1"
"139","Pocillopora_acuta_HIv2___RNAseq.g26985.t1"
"140","Pocillopora_acuta_HIv2___RNAseq.g27028.t2b"
"141","Pocillopora_acuta_HIv2___RNAseq.g28714.t1"
"142","Pocillopora_acuta_HIv2___RNAseq.g28718.t1"
"143","Pocillopora_acuta_HIv2___RNAseq.g28721.t1"
"144","Pocillopora_acuta_HIv2___RNAseq.g28818.t1"
"145","Pocillopora_acuta_HIv2___RNAseq.g28864.t1"
"146","Pocillopora_acuta_HIv2___RNAseq.g29015.t1"
"147","Pocillopora_acuta_HIv2___RNAseq.g29031.t1"
"148","Pocillopora_acuta_HIv2___RNAseq.g29134.t1"
"149","Pocillopora_acuta_HIv2___RNAseq.g29275.t1"
"150","Pocillopora_acuta_HIv2___RNAseq.g29287.t1"
"151","Pocillopora_acuta_HIv2___RNAseq.g29504.t1"
"152","Pocillopora_acuta_HIv2___RNAseq.g29670.t2"
"153","Pocillopora_acuta_HIv2___RNAseq.g29796.t1"
"154","Pocillopora_acuta_HIv2___RNAseq.g30080.t2"
"155","Pocillopora_acuta_HIv2___RNAseq.g30151.t1"
"156","Pocillopora_acuta_HIv2___RNAseq.g30377.t2"
"157","Pocillopora_acuta_HIv2___RNAseq.g30724.t1"
"158","Pocillopora_acuta_HIv2___RNAseq.g30725.t1"
"159","Pocillopora_acuta_HIv2___RNAseq.g30799.t1"
"160","Pocillopora_acuta_HIv2___RNAseq.g30860.t1"
"161","Pocillopora_acuta_HIv2___RNAseq.g3166.t1"
"162","Pocillopora_acuta_HIv2___RNAseq.g3641.t1"
"163","Pocillopora_acuta_HIv2___RNAseq.g3907.t1"
"164","Pocillopora_acuta_HIv2___RNAseq.g4219.t1"
"165","Pocillopora_acuta_HIv2___RNAseq.g4352.t1"
"166","Pocillopora_acuta_HIv2___RNAseq.g4377.t1"
"167","Pocillopora_acuta_HIv2___RNAseq.g5371.t1"
"168","Pocillopora_acuta_HIv2___RNAseq.g5604.t1"
"169","Pocillopora_acuta_HIv2___RNAseq.g5940.t1"
"170","Pocillopora_acuta_HIv2___RNAseq.g6076.t1"
"171","Pocillopora_acuta_HIv2___RNAseq.g615.t1"
"172","Pocillopora_acuta_HIv2___RNAseq.g6179.t1"
"173","Pocillopora_acuta_HIv2___RNAseq.g6438.t1a"
"174","Pocillopora_acuta_HIv2___RNAseq.g6604.t1"
"175","Pocillopora_acuta_HIv2___RNAseq.g6709.t1"
"176","Pocillopora_acuta_HIv2___RNAseq.g6836.t1"
"177","Pocillopora_acuta_HIv2___RNAseq.g6838.t1"
"178","Pocillopora_acuta_HIv2___RNAseq.g689.t1"
"179","Pocillopora_acuta_HIv2___RNAseq.g7231.t1"
"180","Pocillopora_acuta_HIv2___RNAseq.g7238.t1"
"181","Pocillopora_acuta_HIv2___RNAseq.g7239.t1"
"182","Pocillopora_acuta_HIv2___RNAseq.g7241.t1"
"183","Pocillopora_acuta_HIv2___RNAseq.g7243.t1"
"184","Pocillopora_acuta_HIv2___RNAseq.g7248.t1"
"185","Pocillopora_acuta_HIv2___RNAseq.g725.t1"
"186","Pocillopora_acuta_HIv2___RNAseq.g7274.t1"
"187","Pocillopora_acuta_HIv2___RNAseq.g7343.t1"
"188","Pocillopora_acuta_HIv2___RNAseq.g7452.t1"
"189","Pocillopora_acuta_HIv2___RNAseq.g7454.t2"
"190","Pocillopora_acuta_HIv2___RNAseq.g7606.t1"
"191","Pocillopora_acuta_HIv2___RNAseq.g7820.t1"
"192","Pocillopora_acuta_HIv2___RNAseq.g7999.t1"
"193","Pocillopora_acuta_HIv2___RNAseq.g8093.t1"
"194","Pocillopora_acuta_HIv2___RNAseq.g8148.t1"
"195","Pocillopora_acuta_HIv2___RNAseq.g8310.t1"
"196","Pocillopora_acuta_HIv2___RNAseq.g8520.t1"
"197","Pocillopora_acuta_HIv2___RNAseq.g8669.t1a"
"198","Pocillopora_acuta_HIv2___RNAseq.g8670.t1"
"199","Pocillopora_acuta_HIv2___RNAseq.g9567.t1"
"200","Pocillopora_acuta_HIv2___RNAseq.g9922.t1"
"201","Pocillopora_acuta_HIv2___TS.g10338.t1"
"202","Pocillopora_acuta_HIv2___TS.g1145.t1"
"203","Pocillopora_acuta_HIv2___TS.g12887.t1"
"204","Pocillopora_acuta_HIv2___TS.g13008.t1"
"205","Pocillopora_acuta_HIv2___TS.g13961.t1"
"206","Pocillopora_acuta_HIv2___TS.g13979.t1"
"207","Pocillopora_acuta_HIv2___TS.g14329.t2"
"208","Pocillopora_acuta_HIv2___TS.g14552.t1"
"209","Pocillopora_acuta_HIv2___TS.g15590.t1"
"210","Pocillopora_acuta_HIv2___TS.g15917.t1"
"211","Pocillopora_acuta_HIv2___TS.g16961.t1"
"212","Pocillopora_acuta_HIv2___TS.g19047.t1"
"213","Pocillopora_acuta_HIv2___TS.g19511.t1"
"214","Pocillopora_acuta_HIv2___TS.g19694.t1c"
"215","Pocillopora_acuta_HIv2___TS.g19793.t1"
"216","Pocillopora_acuta_HIv2___TS.g20789.t1"
"217","Pocillopora_acuta_HIv2___TS.g21646.t2"
"218","Pocillopora_acuta_HIv2___TS.g23175.t1"
"219","Pocillopora_acuta_HIv2___TS.g24036.t1a"
"220","Pocillopora_acuta_HIv2___TS.g24807.t1"
"221","Pocillopora_acuta_HIv2___TS.g25401.t1"
"222","Pocillopora_acuta_HIv2___TS.g26100.t1"
"223","Pocillopora_acuta_HIv2___TS.g26810.t1"
"224","Pocillopora_acuta_HIv2___TS.g26815.t1"
"225","Pocillopora_acuta_HIv2___TS.g26913.t2a"
"226","Pocillopora_acuta_HIv2___TS.g27468.t2"
"227","Pocillopora_acuta_HIv2___TS.g27885.t3"
"228","Pocillopora_acuta_HIv2___TS.g28111.t1"
"229","Pocillopora_acuta_HIv2___TS.g29125.t1"
"230","Pocillopora_acuta_HIv2___TS.g29242.t2"
"231","Pocillopora_acuta_HIv2___TS.g29608.t1b"
"232","Pocillopora_acuta_HIv2___TS.g30412.t2"
"233","Pocillopora_acuta_HIv2___TS.g3203.t1"
"234","Pocillopora_acuta_HIv2___TS.g398.t1"
"235","Pocillopora_acuta_HIv2___TS.g4220.t1"
"236","Pocillopora_acuta_HIv2___TS.g4500.t2"
"237","Pocillopora_acuta_HIv2___TS.g454.t1"
"238","Pocillopora_acuta_HIv2___TS.g6413.t2"
"239","Pocillopora_acuta_HIv2___TS.g7432.t1b"
"240","Pocillopora_acuta_HIv2___TS.g9361.t1"
"241","Pocillopora_acuta_HIv2___RNAseq.g15159.t1"
"242","Pocillopora_acuta_HIv2___RNAseq.g20810.t1"
"243","Pocillopora_acuta_HIv2___RNAseq.g24544.t1"
"244","Pocillopora_acuta_HIv2___RNAseq.g3123.t1"
"245","Pocillopora_acuta_HIv2___RNAseq.g5075.t1"
"246","Pocillopora_acuta_HIv2___RNAseq.g700.t1"
"247","Pocillopora_acuta_HIv2___RNAseq.g701.t1"
"248","Pocillopora_acuta_HIv2___RNAseq.g702.t1"
"249","Pocillopora_acuta_HIv2___RNAseq.g707.t1"
"250","Pocillopora_acuta_HIv2___RNAseq.g710.t1"
"251","Pocillopora_acuta_HIv2___RNAseq.g7669.t1"
"252","Pocillopora_acuta_HIv2___RNAseq.g804.t1"
"253","Pocillopora_acuta_HIv2___RNAseq.g9292.t1"
"254","Pocillopora_acuta_HIv2___RNAseq.g9302.t2"
"255","Pocillopora_acuta_HIv2___TS.g11273.t1"
"256","Pocillopora_acuta_HIv2___TS.g11769.t1"
"257","Pocillopora_acuta_HIv2___TS.g13643.t1"
"258","Pocillopora_acuta_HIv2___TS.g1833.t1"
"259","Pocillopora_acuta_HIv2___TS.g21729.t2"
"260","Pocillopora_acuta_HIv2___TS.g29845.t2"
"261","Pocillopora_acuta_HIv2___TS.g3674.t2"
"262","Pocillopora_acuta_HIv2___TS.g4335.t1"
"263","Pocillopora_acuta_HIv2___TS.g6226.t1"
