"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___RNAseq.g27566.t1",1.1,0,NA,65.71428571,15.30555556,5.576,2.84,NA,8.585365854,NA
"Pocillopora_acuta_HIv2___RNAseq.g27976.t1",85,NA,16.4,20,83.83333333,76.20454545,76.6,NA,100,90
"Pocillopora_acuta_HIv2___RNAseq.g28226.t2",0,2.857142857,0,NA,NA,3.5,0,24.66666667,25,NA
"Pocillopora_acuta_HIv2___TS.g29027.t1",NA,0,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g24639.t1",33,10,10,33.33333333,35.8,7.877777778,53.5,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g24861.t1b",NA,NA,NA,NA,NA,51.66666667,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g25214.t1",0,NA,0,20,35,3.253424658,3.74,20,80.44444444,1.5
"Pocillopora_acuta_HIv2___RNAseq.g25351.t1",0,0,7.272727273,0,1.176470588,4.564102564,9.266666667,16,13.33333333,19
"Pocillopora_acuta_HIv2___RNAseq.g25398.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g12695.t1",16,16,4,0,3.375,10.74576271,0.5789473684,NA,16.66666667,NA
"Pocillopora_acuta_HIv2___RNAseq.g13172.t1",NA,NA,0,NA,2.222222222,1.960526316,1.875,NA,NA,0
"Pocillopora_acuta_HIv2___TS.g15792.t1",NA,NA,NA,NA,0,3.482758621,2.857142857,13,NA,0
"Pocillopora_acuta_HIv2___RNAseq.g13823.t1",2.666666667,14.89473684,0,10.375,3.333333333,4.135135135,4.468085106,0,1.538461538,100
"Pocillopora_acuta_HIv2___RNAseq.g13824.t1",12.25,9.4,84.5,25.14285714,10.5,5.359116022,13.35483871,49,28.66666667,90
"Pocillopora_acuta_HIv2___RNAseq.g13825.t1",4,8.333333333,NA,10,33,2.897435897,10.75,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g12304.t1",5.714285714,8.333333333,NA,11.22222222,13.46666667,5.520618557,17.14285714,0,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g13881.t1",NA,NA,NA,NA,80,1.818181818,NA,NA,0,0
"Pocillopora_acuta_HIv2___RNAseq.g15280.t1",16.42857143,0,3.666666667,3,52.95454545,7.136363636,14.47826087,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g27873.t1",20.69565217,NA,35,98.57142857,33.25,8.977777778,30.30555556,8,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g15517.t1",NA,NA,NA,NA,NA,26,43.625,NA,0,45
"Pocillopora_acuta_HIv2___TS.g22622.t1",20.88235294,40,56.125,26.66666667,31.57575758,20.50424929,10,72,61.4375,100
"Pocillopora_acuta_HIv2___RNAseq.g25935.t1",12.01960784,3.52173913,35.53125,0.5714285714,19,4.105614973,14.96969697,16,29.05882353,44.11764706
"Pocillopora_acuta_HIv2___RNAseq.g26035.t1",NA,0,0,0,21.85714286,7.340206186,6.90625,NA,7.125,NA
"Pocillopora_acuta_HIv2___RNAseq.g26037.t1",0,28.33333333,NA,6.736842105,10.90909091,2.49382716,1.333333333,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g2705.t1",25,NA,42.85714286,30,28.9375,36.2962963,39.125,0,50,10
"Pocillopora_acuta_HIv2___RNAseq.g16715.t1",100,0,100,NA,17.83333333,2.256756757,13.53333333,100,0,100
"Pocillopora_acuta_HIv2___RNAseq.g21689.t1",0,NA,NA,NA,19.8,0.4615384615,0,0,NA,NA
"Pocillopora_acuta_HIv2___TS.g6736.t1",0,0,8.571428571,NA,0,2.072727273,0.9473684211,25.88235294,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g11479.t1",0,16.5,NA,NA,4,7.837837838,10,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g11609.t1",1,0,NA,NA,4.615384615,4.070175439,0,NA,2.285714286,NA
"Pocillopora_acuta_HIv2___TS.g425.t1",37.76923077,9.833333333,30.75,33.5,13.5,4.765880218,9.409836066,29.3,11.5,64.70588235
"Pocillopora_acuta_HIv2___RNAseq.g20019.t1",9.363636364,0,19.85714286,53.2,15.7826087,2.509615385,4.16,0,4,10
"Pocillopora_acuta_HIv2___TS.g29834.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g576.t1",0,7,0,NA,2.857142857,4.260869565,1.2,10,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g21501.t1",11.41176471,8.684210526,NA,54.39393939,10.52857143,4.708737864,5.391891892,14.54545455,6.631578947,9.217391304
"Pocillopora_acuta_HIv2___RNAseq.g21517.t1",0,89.09090909,12.5,74.66666667,59.6,3.55,3.96969697,0,16.57894737,0
"Pocillopora_acuta_HIv2___RNAseq.g7085.t1",8.941176471,1.172413793,3.333333333,38,29.38888889,4.051282051,7.037037037,5.454545455,48,NA
"Pocillopora_acuta_HIv2___RNAseq.g14653.t1",36.78787879,0,19.55555556,9.333333333,9.066666667,2.548387097,3.088888889,14.28571429,0,72.70588235
"Pocillopora_acuta_HIv2___RNAseq.g14663.t1a",0,0,12,2.5,1.7,3.183333333,2.918367347,3.5,3.333333333,0
"Pocillopora_acuta_HIv2___RNAseq.g10093.t2",36,0,33.33333333,5.454545455,21,5.398190045,15.38461538,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g20587.t2",NA,0,NA,NA,NA,0.4324324324,1.034482759,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g3606.t1",NA,17.07692308,NA,12,60,2.717557252,0,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g3609.t1",17,NA,60,0,6,16.9,15.41666667,NA,100,NA
"Pocillopora_acuta_HIv2___RNAseq.g3693.t1",NA,NA,NA,NA,16,5.555555556,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g3780.t1",0,NA,NA,NA,13.2,3.071428571,1.428571429,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g4085.t1",50,NA,NA,40,44,41.39130435,1.666666667,33,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g21232.t1",6.666666667,30,1.666666667,20.69230769,10.95238095,3.563706564,10.71111111,NA,56.78571429,70
"Pocillopora_acuta_HIv2___TS.g19102.t1",0,NA,NA,0,NA,29.33333333,44.8,NA,60,80
"Pocillopora_acuta_HIv2___RNAseq.g21338.t1",NA,NA,40,0,8.333333333,3.2,4.705882353,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g22189.t1",NA,NA,NA,NA,NA,0.4848484848,44.75,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g22261.t1",0,2.533333333,NA,0,10.45454545,2.137096774,1.571428571,NA,95.71428571,54.66666667
"Pocillopora_acuta_HIv2___RNAseq.g22851.t1",1,0,0,16.36363636,19.2972973,4.189285714,2.02,NA,0,NA
"Pocillopora_acuta_HIv2___TS.g24602.t1",16.5,0,NA,10,NA,5.536585366,0,41.66666667,12.16666667,NA
"Pocillopora_acuta_HIv2___RNAseq.g23331.t1",0,0,NA,14,6.421052632,1.427947598,6.28,6.666666667,0,0
"Pocillopora_acuta_HIv2___RNAseq.g7402.t1",8.7,NA,100,100,76.2,37.48148148,25.5,100,100,NA
"Pocillopora_acuta_HIv2___TS.g6007.t1",0.6666666667,40,12.72727273,10,32,20,18.93333333,NA,100,NA
"Pocillopora_acuta_HIv2___RNAseq.g7668.t1",11.96330275,10.5,13.22,13.26315789,22.3480663,5.392779783,7.233226837,45.46428571,4.967741935,93.84210526
"Pocillopora_acuta_HIv2___TS.g6354.t1",78.85714286,NA,0,NA,NA,0.4761904762,0,NA,66,NA
"Pocillopora_acuta_HIv2___RNAseq.g7908.t1",8.444444444,NA,60,NA,5,5.230769231,0,43,NA,80
"Pocillopora_acuta_HIv2___TS.g6583.t1",26.66666667,4.909090909,12.30769231,2,18.24,5.056300268,6.845070423,20,27,0
"Pocillopora_acuta_HIv2___RNAseq.g8083.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g30304.t2",28.85714286,38.6,27.63636364,30.8,19.48837209,9,18.2173913,23.88,22.58333333,47.57142857
"Pocillopora_acuta_HIv2___RNAseq.g30830.t1",15,0,NA,23.33333333,1.523809524,1.94375,0.8695652174,37.66666667,2.5,2.333333333
"Pocillopora_acuta_HIv2___RNAseq.g30867.t1b",NA,NA,NA,95,36,3.314285714,50,16.66666667,80,NA
"Pocillopora_acuta_HIv2___TS.g5112.t1",30.83333333,43.54545455,43.44444444,27.5,18.33333333,11.25641026,23.4375,46.22222222,57.5,39.36363636
"Pocillopora_acuta_HIv2___RNAseq.g19211.t1",28.23529412,14.13157895,14.96153846,14.76190476,10.0877193,8.574468085,13.33333333,23.52941176,16.5,17.87096774
"Pocillopora_acuta_HIv2___RNAseq.g19288.t1",0,NA,0,NA,12.33333333,1.733333333,12.5,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g5318.t1",1.333333333,0,6.428571429,18,15,2.860465116,1.481481481,40,0,0
"Pocillopora_acuta_HIv2___TS.g5338.t1",NA,0,0,NA,19.41666667,0,2.727272727,NA,3.615384615,NA
"Pocillopora_acuta_HIv2___TS.g2710.t1",0,21.6,NA,15.33333333,3.555555556,2.431372549,3.428571429,100,NA,2.666666667
"Pocillopora_acuta_HIv2___RNAseq.g3235.t1",9.074074074,10.13333333,3.607843137,28,33.325,5.067331671,6.761904762,3.2,18.70588235,NA
"Pocillopora_acuta_HIv2___RNAseq.g16280.t1",NA,0,NA,0,10,3.147058824,13.33333333,24.5,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g8821.t1",8.777777778,23.06896552,21.5,15.94594595,24.84313725,3.897374702,9.08045977,31.45454545,17.02631579,22.16216216
"Pocillopora_acuta_HIv2___TS.g11659.t1",39.75,100,100,NA,60,47.61290323,NA,NA,NA,81.6
"Pocillopora_acuta_HIv2___TS.g11781.t1",0,NA,NA,NA,0,1.918032787,4.054054054,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g26846.t1a",0,0,3.692307692,NA,15.125,1.946380697,3.142857143,9.526315789,0,86.66666667
"Pocillopora_acuta_HIv2___TS.g1545.t1b",0,NA,NA,16.61538462,NA,1.93442623,1.777777778,NA,5,NA
"Pocillopora_acuta_HIv2___RNAseq.g335.t1",NA,NA,NA,NA,NA,2.955555556,NA,0,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g22388.t1",NA,33.875,NA,52.53846154,40,5.647457627,7,7,0,NA
"Pocillopora_acuta_HIv2___TS.g23498.t1",0,NA,80,27.5,16.33333333,4.440366972,8.314285714,3.2,9.8,3.428571429
"Pocillopora_acuta_HIv2___RNAseq.g6446.t1",34.90909091,22.88235294,35.66666667,38.76923077,24.10344828,6.647368421,15.91525424,42.21428571,63.85294118,32.38461538
"Pocillopora_acuta_HIv2___TS.g23724.t1a",1.538461538,NA,0,40,4.181818182,6.605042017,12,NA,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g16433.t1",9.056074766,1.636363636,15.31578947,14.89285714,14.23232323,4.387134503,9.345794393,7.548387097,10.24590164,1.692307692
"Pocillopora_acuta_HIv2___RNAseq.g18103.t1",0,NA,NA,12.5,46.6,5.381443299,2,13.33333333,100,NA
"Pocillopora_acuta_HIv2___RNAseq.g26221.t1",NA,92.5,32.57142857,97.83333333,100,16.59210526,8.571428571,NA,0,20
"Pocillopora_acuta_HIv2___RNAseq.g14505.t1",NA,NA,NA,0,21.15384615,3.678571429,21.8,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27376.t1",25,1.428571429,7.5,23.9,26.69565217,9.585526316,11.5,3.2,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g8451.t1",NA,NA,0,NA,NA,2.822222222,1.230769231,NA,90,NA
"Pocillopora_acuta_HIv2___RNAseq.g5807.t1",59.30769231,30.33333333,25.71428571,23.79411765,47.5,18.75,26,34,45.79166667,40.05555556
"Pocillopora_acuta_HIv2___RNAseq.g24567.t1a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g24568.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1634.t1",NA,NA,0,NA,0,29.23809524,0,100,NA,NA
"Pocillopora_acuta_HIv2___TS.g26810.t1",55.125,0,27.63636364,46.25,29.06,26.1,28.38541667,18.03703704,55.27272727,71
"Pocillopora_acuta_HIv2___RNAseq.g1970.t1",10,NA,5.416666667,7.315789474,10.41176471,3.897959184,0,16.72727273,0,NA
"Pocillopora_acuta_HIv2___TS.g13222.t1b",0,36.4,NA,7.470588235,16.0625,5.046822742,9.518518519,NA,0.8695652174,100
"Pocillopora_acuta_HIv2___TS.g1359.t1",35.19354839,19.28947368,41.8125,23.61764706,37.19230769,11.67582418,30.65333333,53.72413793,39.54545455,38.13333333
